,상호명
1249,인현통닭삼계탕
1250,주원일식
1251,고가뫼고쌈냉면
1252,신두리
1253,신기면옥
1254,수림공원가든
1255,논골집
1256,바다해물탕
1257,유달산
1258,만수동화로구이
1259,만수숯불갈비
1260,고려한방삼계탕
1261,닭이봉춘천닭갈비
1262,풍년꽃게
1263,전라도 삼합
1264,수밀원
1265,이화찹쌀순대
1266,석빈가든
1267,서촌이가
1268,전통복회관
1269,남도해물탕
1270,대가손두부
1271,해안선
1272,백암왕순대
1273,아리아리랑
1274,금강메기매운탕
1275,남대감꽃게아구점문점
1276,우정숯불갈비
1277,전원
1279,굴세상
1280,서해왕해물찜
1281,산촌
1282,새벽해장국
1283,신박사가
1284,야자수숯불가든
1285,한자리한턱
1286,충남서산집
1287,은성횟집
1288,외포횟집
1289,장원토종마을
1290,바람의마을
1291,용흥궁
1292,남촌
1293,본전삼계탕
1294,감자탕을 만드는 형제들
1295,전라도회집
1296,동춘사골순대국
1297,닭이봉 춘천닭갈비
1298,전주돌솥밥
1299,정윤기 황칠낙지
1300,금바위감자탕
1302,시골메밀칼국수
1303,영흥가든
1304,북경손짜장
1305,성원닭갈비
1306,부산복집
1307,등촌샤브칼국수
1308,희래등
1309,영빈관
1310,촌장골
1311,낙지한마당
1312,섬진강
1313,두리문설렁탕
1314,강촌토종삼계탕
1315,송미옥
1316,돈앤우숯불소금구이
1318,미락해물탕
1320,뉴욕바다가재
1321,e-스테이션
1322,끝판왕무한리필
1323,인브스키친
1324,싱싱회종합어시장
1325,참조은복집
1326,아메리칸트레이
1327,남촌칼국수
1328,우향생고기
1329,황소마을
1330,황금생돼지
1331,송도 주막
1332,통큰소한마리
1333,송돗골
1335,덕용푸드시스템
1336,최가네통돼지김치찌개
1337,산촌샤브샤브칼국수
1340,삼삼구이
1341,춘향골남원추어탕
1342,능이버섯백숙 향계
1343,새마을식당
1344,송도명품 삼계탕
1345,쌀보리밥
1346,강화꽃게집
1347,피에스타
1348,우정일식
1349,김정문설렁탕
1350,외포왕꽃게탕
1351,공화춘
1352,왕자정묵밥
1353,프레페랑스
1354,장수촌
1355,꾸지뽕삼계탕
1356,전가복
1357,원조선창집장어구이
1358,성진아구
1359,신성복집
1360,진흥각
1361,초심
1362,청실홍실
1363,우리밀중화요리
1364,소장군
1365,풍천민물장어
1366,착한쭝식
1367,누루계
1368,신가네숯불갈비
1369,동해해물탕물텀벙
1370,원주추옥
1371,참이맛감자탕
1372,어도
1373,이현이이가네동태탕
1374,육정담고기플러스
1375,쉐프의부엌
1376,중앙갈비
1377,제주솥뚜껑삼겹살
1378,선미정
1379,돈비어천가
1380,가조
1381,경동만두
1382,금촌집
1383,명품플러스
1384,작은행복
1385,은혜반점
1386,만미숯불갈비
1387,현대물텀벙
1388,숭의쌈밥
1389,육교추어탕
1390,인하찹쌀순대
1391,루외루
1392,고목정
1393,우진삼계탕부대찌개
1394,원주추어탕
1395,용인정
1396,백령면옥
1397,가마솥손두부
1398,취화선
1400,명가낙지촌
1401,이대조뼈다귀
1402,약선당감자탕
1404,정가붕어찜
1405,항아리칼국수보쌈
1406,완도바다
1407,이차돌
1408,착한막회
1409,만선해변
1410,신대청마루
1411,숭의골돌솥추어탕
1412,삼화정1호점
1413,삼락유황오리
1414,국화호수
1415,화진원 한정식
1416,강변해물탕
1417,명태촌
1418,일산칼국수
1419,인천그랜드CC클럽하우스
1420,훈장골
1421,드림팰리스
1422,비비랑
1423,왕소
1424,미사리 밀빛 초계국수 닭칼국수
1425,베테랑종합어시장
1426,전주콩나물국밥
1428,자미궁 제빵소
1429,영진정정육식당
1430,누룩골
1431,소담한정식
1432,충남서산꽃게집
1433,충남서산집꽃게탕집
1434,삼원일식
1435,소금빛풍천장어구이
1437,신선화로
1438,권오길손국수
1439,보릿골
1440,계산복집
1441,예전
1442,밥도둑꽃게전문
1443,바오
1444,박가네순대국
1445,서해낙원
1446,고향밥상(별관)
1447,무쏘
1449,편가네된장
1450,외포리꽃게집
1451,돌캐
1452,궁정한우한돈왕갈비
1454,서가네메밀촌
1456,부평집해물탕
1457,중국성
1458,신포횟집
1459,북촌순두부
1460,풍전식당
1461,우미가든
1462,라비스타
1463,솔향기
1464,루쉬
1465,숭의가든
1466,옜네손칼국수
1467,태원
1468,바다식당
1469,별미정숯불장어
1470,청수한방횡계백숙
1471,천주채관
1472,부개갈비
1473,벌말매운탕
1474,본죽
1476,명륜진사갈비
